Category,Num_Endorsements,Issued_year,Issue_duration
PRIVATE TRANSPORTATION COMPANY,1,2018,10.611038107752956
PRIVATE TRANSPORTATION COMPANY,1,2017,15.045992115637318
PRIVATE TRANSPORTATION COMPANY,1,2018,45.532194480946124
PRIVATE TRANSPORTATION COMPANY,1,2017,71.41918528252299
PRIVATE TRANSPORTATION COMPANY,1,2020,33.31143232588699
PRIVATE TRANSPORTATION COMPANY,1,2021,20.006570302233904
PRIVATE TRANSPORTATION COMPANY,1,2017,77.23390275952694
PRIVATE TRANSPORTATION COMPANY,1,2022,16.09724047306176
PRIVATE TRANSPORTATION COMPANY,1,2019,52.20105124835742
TAXICAB BROKER,1,2001,21.419185282522996
TAXICAB BROKER,1,2002,11.465177398160314
TAXICAB BROKER,1,2001,29.664914586070957
TAXICAB BROKER,1,2001,27.890932982917214
TAXICAB BROKER,1,2001,28.679369250985545
TAXICAB BROKER,1,2004,3.219448094612352
TAXICAB BROKER,1,2002,24.802890932982915
TAXICAB BROKER,1,2004,9.132720105124836
TAXICAB BROKER,1,2002,36.596583442838366
TAXICAB BROKER,1,2003,16.4257555847569
TAXICAB BROKER,1,2004,15.013140604467806
TAXICAB BROKER,1,2003,25.45992115637319
TAXICAB BROKER,1,2002,45.039421813403415
TAXICAB BROKER,1,2002,47.8646517739816
TAXICAB BROKER,1,2002,47.8646517739816
TAXICAB BROKER,1,2005,15.013140604467806
TAXICAB BROKER,1,2005,16.1957950065703
TAXICAB BROKER,1,2005,7.7858081471747695
TAXICAB BROKER,1,2003,47.109067017082786
TAXICAB BROKER,1,2004,38.99474375821288
TAXICAB BROKER,1,2005,27.003942181340342
TAXICAB BROKER,1,2001,75
TAXICAB BROKER,1,2003,63.042049934296976
TAXICAB BROKER,1,2000,97.50328515111694
TAXICAB BROKER,1,2002,88.3377135348226
TAXICAB BROKER,1,2005,51.57687253613666
TAXICAB BROKER,1,2008,15.801576872536137
TAXICAB BROKER,1,2004,63.00919842312746
TAXICAB BROKER,1,2005,56.60315374507227
TAXICAB BROKER,1,2008,15.013140604467806
TAXICAB BROKER,1,2005,55.25624178712221
TAXICAB BROKER,1,2007,27.036793692509853
TAXICAB BROKER,1,2009,17.936925098554532
TAXICAB BROKER,1,2004,75
TAXICAB BROKER,1,2009,15.013140604467806
TAXICAB BROKER,1,2001,120.79500657030223
TAXICAB BROKER,1,2010,12.81208935611038
TAXICAB BROKER,1,2010,15.013140604467806
TAXICAB BROKER,1,2005,87.58212877792378
TAXICAB BROKER,1,2005,87.02365308804205
TAXICAB BROKER,1,2009,39.02759526938239
TAXICAB BROKER,1,2013,1.3797634691195795
TAXICAB BROKER,1,2012,9.592641261498029
TAXICAB BROKER,1,2012,11.662286465177397
TAXICAB BROKER,1,2009,49.5400788436268
TAXICAB BROKER,1,2012,15.013140604467806
TAXICAB BROKER,1,2012,15.013140604467806
TAXICAB BROKER,1,2011,36.629434954007884
TAXICAB BROKER,1,2005,110.15111695137976
TAXICAB BROKER,1,2013,10.315374507227332
TAXICAB BROKER,1,2013,15.045992115637318
TAXICAB BROKER,1,2009,63.00919842312746
TAXICAB BROKER,1,2012,27.003942181340342
TAXICAB BROKER,1,2013,15.013140604467806
TAXICAB BROKER,1,2013,13.764783180026281
TAXICAB BROKER,1,2014,15.013140604467806
TAXICAB BROKER,1,2014,15.013140604467806
TAXICAB BROKER,1,2014,14.520367936925098
TAXICAB BROKER,1,2013,27.003942181340342
TAXICAB BROKER,1,2014,14.98028909329829
TAXICAB BROKER,1,2014,27.036793692509853
TAXICAB BROKER,1,2013,39.02759526938239
TAXICAB BROKER,1,2009,87.02365308804205
TAXICAB BROKER,1,2015,15.045992115637318
TAXICAB BROKER,1,2011,75.03285151116951
TAXICAB BROKER,1,2000,216.03153745072274
TAXICAB BROKER,1,2002,190.07884362680682
TAXICAB BROKER,1,2014,51.01839684625492
TAXICAB BROKER,1,2016,39.02759526938239
TAXICAB BROKER,1,2017,25.7227332457293
TAXICAB BROKER,1,2013,75
TAXICAB BROKER,1,2013,75
TAXICAB BROKER,1,2013,73.75164257555848
TAXICAB BROKER,1,2015,68.95532194480946
TAXICAB BROKER,1,2019,18.626806833114323
TAXICAB BROKER,1,2003,207.03022339027595
TAXICAB BROKER,1,2019,14.487516425755585
TAXICAB BROKER,1,2020,16.98423127463863
TAXICAB BROKER,1,2008,160.9724047306176
TAXICAB BROKER,1,2016,65.47306176084099
TAXICAB BROKER,1,2020,17.47700394218134
TAXICAB BROKER,1,2012,112.97634691195795
TAXICAB BROKER,1,2005,196.9448094612352
TAXICAB BROKER,1,2014,88.96189224704337
TAXICAB BROKER,1,2014,88.96189224704337
TAXICAB BROKER,1,2017,52.95663600525624
TAXICAB BROKER,1,2019,28.97503285151117
TAXICAB BROKER,1,2020,18.626806833114323
TAXICAB BROKER,1,2021,14.98028909329829
TAXICAB BROKER,1,2019,38.99474375821288
TAXICAB BROKER,1,2013,110.9724047306176
TAXICAB BROKER,1,2021,14.947437582128778
LIMOUSINE SERVICE COMPANY,1,2005,15.013140604467806
LIMOUSINE SERVICE COMPANY,1,2006,8.081471747700395
LIMOUSINE SERVICE COMPANY,1,2005,17.41130091984231
LIMOUSINE SERVICE COMPANY,1,2005,18.429697766097238
LIMOUSINE SERVICE COMPANY,1,2006,15.013140604467806
LIMOUSINE SERVICE COMPANY,1,2006,15.013140604467806
LIMOUSINE SERVICE COMPANY,1,2006,15.013140604467806
LIMOUSINE SERVICE COMPANY,1,2006,15.013140604467806
LIMOUSINE SERVICE COMPANY,1,2006,15.013140604467806
LIMOUSINE SERVICE COMPANY,1,2006,15.013140604467806
LIMOUSINE SERVICE COMPANY,1,2006,17.24704336399474
LIMOUSINE SERVICE COMPANY,1,2006,16.95137976346912
LIMOUSINE SERVICE COMPANY,1,2007,15.013140604467806
LIMOUSINE SERVICE COMPANY,1,2006,27.003942181340342
LIMOUSINE SERVICE COMPANY,1,2006,27.036793692509853
LIMOUSINE SERVICE COMPANY,1,2006,27.036793692509853
LIMOUSINE SERVICE COMPANY,1,2007,15.045992115637318
LIMOUSINE SERVICE COMPANY,1,2005,39.02759526938239
LIMOUSINE SERVICE COMPANY,1,2006,36.465177398160314
LIMOUSINE SERVICE COMPANY,1,2006,36.69513797634691
LIMOUSINE SERVICE COMPANY,1,2007,17.641261498028907
LIMOUSINE SERVICE COMPANY,1,2005,39.02759526938239
LIMOUSINE SERVICE COMPANY,1,2006,35.972404730617605
LIMOUSINE SERVICE COMPANY,1,2008,15.045992115637318
LIMOUSINE SERVICE COMPANY,1,2006,39.02759526938239
LIMOUSINE SERVICE COMPANY,1,2008,15.013140604467806
LIMOUSINE SERVICE COMPANY,1,2006,40.04599211563732
LIMOUSINE SERVICE COMPANY,1,2006,40.50591327201051
LIMOUSINE SERVICE COMPANY,1,2007,30.55190538764783
LIMOUSINE SERVICE COMPANY,1,2008,15.83442838370565
LIMOUSINE SERVICE COMPANY,1,2006,41.62286465177398
LIMOUSINE SERVICE COMPANY,1,2006,39.02759526938239
LIMOUSINE SERVICE COMPANY,1,2007,27.036793692509853
LIMOUSINE SERVICE COMPANY,1,2006,41.13009198423127
LIMOUSINE SERVICE COMPANY,1,2007,27.036793692509853
LIMOUSINE SERVICE COMPANY,1,2006,39.02759526938239
LIMOUSINE SERVICE COMPANY,1,2008,15.013140604467806
LIMOUSINE SERVICE COMPANY,1,2006,39.060446780551906
LIMOUSINE SERVICE COMPANY,1,2006,44.908015768725356
LIMOUSINE SERVICE COMPANY,1,2005,51.01839684625492
LIMOUSINE SERVICE COMPANY,1,2007,27.036793692509853
LIMOUSINE SERVICE COMPANY,1,2006,49.67148488830486
LIMOUSINE SERVICE COMPANY,1,2006,48.19316688567674
LIMOUSINE SERVICE COMPANY,1,2006,39.02759526938239
LIMOUSINE SERVICE COMPANY,1,2006,39.02759526938239
LIMOUSINE SERVICE COMPANY,1,2006,47.96320630749014
LIMOUSINE SERVICE COMPANY,1,2008,19.349540078843624
LIMOUSINE SERVICE COMPANY,1,2006,51.01839684625492
LIMOUSINE SERVICE COMPANY,1,2006,51.01839684625492
LIMOUSINE SERVICE COMPANY,1,2008,27.003942181340342
LIMOUSINE SERVICE COMPANY,1,2006,51.01839684625492
LIMOUSINE SERVICE COMPANY,1,2006,56.07752956636005
LIMOUSINE SERVICE COMPANY,1,2005,63.00919842312746
LIMOUSINE SERVICE COMPANY,1,2006,52.233902759526934
LIMOUSINE SERVICE COMPANY,1,2008,27.003942181340342
